birth,death,raw_birth,edge_id
0.006786471282785983,inf,1.5345933248367416e-05,163
0.028967633586385336,inf,6.550316841499176e-05,8
0.061939396729358005,inf,0.00014006068957572726,5
0.07962739751747898,inf,0.0001800577466737341,175
0.10179845733874024,inf,0.00023019213756486634,59
0.18079067246409397,inf,0.0004088135757088912,13
0.19730329773035005,inf,0.00044615281056781253,179
0.21586396310350614,inf,0.00048812318368118834,87
0.21901073820641162,inf,0.0004952388405026209,34
0.22529606727184903,inf,0.0005094515640614583,158
0.3263825943747129,inf,0.0007380338467515291,166
0.34855083167299,inf,0.0007881618552021408,168
0.3697376943336762,inf,0.0008360707266296119,170
0.4039739850546248,inf,0.0009134876654455226,76
0.49590274108438986,inf,0.0011213619044799644,17
0.5262615144602127,inf,0.0011900107928808357,152
0.5795389893216977,inf,0.0013104846796472558,39
0.6367268764767168,inf,0.0014398010006522743,62
0.6631270774118477,inf,0.0014994985525039473,65
0.721670430384689,inf,0.001631879925594798,56
1.1944814714837977,inf,0.002701025638213124,10
1.3554641525682758,inf,0.0030650483202705747,70
1.4880527822282144,inf,0.0033648648486945543,72
1.5898912397684015,inf,0.00359514743686265,42
1.75985036333173,inf,0.003979468132622399,155
2.309158480392195,inf,0.005221593140736447,127
2.7487464867302585,inf,0.006215613143319809,90
2.83262104329416,inf,0.006405274794070603,125
3.0844943330831978,inf,0.006974824200689844,82
3.767964028845133,inf,0.00852032257405641,50
4.540719455276082,inf,0.010267718635600609,135
5.970353649472134,inf,0.013500484236387139,77
7.903797324057957,inf,0.01787249088510487,93
8.406966722858252,inf,0.019010284546178258,144
8.64687855790411,inf,0.019552786069089834,140
10.03800172022481,inf,0.02269846845683987,99
10.279398817112302,inf,0.023244328533575415,48
12.84454614149416,inf,0.02904477739306463,36
15.292181752468606,inf,0.0345795024566799,98
15.390297754311234,inf,0.03480136762815611,120
15.97767358342337,inf,0.03612957339071832,139
20.730183892212644,inf,0.046876204875898386,123
23.203401303604714,inf,0.05246877688017304,133
25.38553714031193,inf,0.057403139598824704,132
27.846944827369384,inf,0.06296900682033835,68
31.600808321754187,inf,0.07145744450877778,110
32.75084227408633,inf,0.0740579630301794,27
39.4161325487118,inf,0.08912987527636296,122
40.23042828736067,inf,0.0909712045223044,21
42.74215765445222,inf,0.09665086182861626,118
54.66369241925474,inf,0.12360847633776476,1
57.00531865664496,inf,0.12890348731390555,116
57.646346660218384,inf,0.13035301425408788,80
77.78190698251686,inf,0.175884624386772,113
164.9350013120219,inf,0.37295988076658015,108
198.2085392963123,inf,0.4481997914015989,24
200.53094955618766,inf,0.453451350177626,19
204.61487233791593,inf,0.46268613564836936,94
242.37649335126602,inf,0.5480747406058382,26
245.8659103901606,inf,0.5559651977702881,103
313.3735894121286,inf,0.7086171862419829,52
342.5087525093737,inf,0.7744991813820369,31
