node,x,y
0,0.49625841492011663,0.776645462246807
1,0.5490364103832043,0.40539882730446347
2,0.1551511135319999,0.6294716401641298
3,0.32010697076227485,0.5841623642852639
4,0.5349533866795463,0.2948558516930235
5,0.5263490633049793,0.8416989515530032
6,0.47379859282949655,0.7169217009970825
7,0.5648297812897175,0.8175603289890113
8,0.5305592940951941,0.7748489612560616
9,0.17363279567390352,0.5649261957722514
10,0.4842242430904119,0.7864240334523733
11,0.25562874548189185,0.5719601340255396
12,0.3306027990038378,0.3301939395767585
13,0.23966100836404475,0.5274274106154377
14,0.2797934506685264,0.5819294454359031
15,0.24637380187399865,0.483367201958592
16,0.16520657148622406,0.5607775283670845
17,0.40877154942767024,0.4867177985082248
