source,target,edge_id,length,connectivity,shared_points
0,1,0,0.002730335801223746,,
1,2,1,1.968740230093649e-05,,
1,2,2,1.968740230093649e-05,,
2,3,3,0.008561356693456243,,
3,5,4,0.000775560706075859,,
3,4,5,0.000255800165537768,,
4,10,6,0.06373549385891353,,
4,5,7,0.000519760540538091,,
5,6,8,0.010812215094402357,,
6,7,9,0.0039347737497097135,,
6,7,10,0.0039347737497097135,,
7,8,11,0.0017896454479385052,,
8,9,12,0.0386848415939001,,
8,9,13,0.0386848415939001,,
9,10,14,0.007994257432424753,,
10,11,15,0.04099522634941011,,
11,27,16,0.5846927858313551,,
11,12,17,0.036335792395834995,,
12,13,18,0.05539520142879459,,
12,13,19,0.05539520142879459,,
13,14,20,0.00818201897370488,,
14,19,21,0.25477290823009413,,
14,15,22,0.05468583660202017,,
15,17,23,0.1225441079862285,,
15,16,24,0.11621193707550154,,
16,110,25,0.5941488394565544,,
16,17,26,0.006332170910726964,,
17,18,27,0.013662521490970359,,
18,37,28,0.30291921324150217,,
18,19,29,0.06388044215087507,,
19,25,30,0.22796997126726593,,
19,20,31,0.05211134325521449,,
20,81,32,0.40091285834601753,,
20,81,34,0.40091285834601753,,
20,21,33,0.1462962078572817,,
21,22,35,0.010278381589402752,,
21,24,36,0.0267597481422438,,
22,23,37,0.010447587154004512,,
22,23,38,0.010447587154004512,,
23,24,39,0.006033779398836536,,
24,25,40,0.002802672012525931,,
25,26,41,0.00015651662937532507,,
26,55,42,0.04728279601763763,,
26,27,43,0.001880376906285286,,
26,46,44,0.017943825185235074,,
27,28,45,0.001795539785144462,,
28,53,46,0.02851303510397385,,
28,29,47,0.0012169774301591385,,
29,30,48,0.0015833102598244997,,
29,53,49,0.02729605767381471,,
30,31,50,0.00013574915135372567,,
30,58,51,0.05260067027322124,,
31,32,52,0.00023605749461452774,,
31,48,53,0.013486596486792513,,
32,33,54,9.349589500462496e-05,,
32,34,55,0.0008044262911640621,,
33,53,56,0.025247444873017333,,
33,34,57,0.0007109303961594371,,
34,35,58,0.001072159864231148,,
35,36,59,4.535774679226279e-05,,
35,40,60,0.005505007829609165,,
36,37,61,0.0021423282644167374,,
36,43,62,0.0072382447417213,,
37,38,63,6.90917597123697e-05,,
38,57,64,0.04324677101322427,,
38,39,65,0.0006238585112003925,,
39,40,66,0.002624371547487403,,
39,67,67,0.09497902728039831,,
40,41,68,0.0009824336484419716,,
41,42,69,0.0007645926484892707,,
41,44,70,0.0011249439326080912,,
42,50,71,0.0076057311376299674,,
42,43,72,3.156836197315549e-05,,
43,44,73,0.00032878292214566507,,
44,45,74,0.0015606409196402549,,
45,46,75,4.620167215874105e-05,,
45,56,76,0.03064171039871122,,
45,57,77,0.03633052245384616,,
46,47,78,0.0016078687023559635,,
47,49,79,0.003911048573429943,,
47,48,80,0.0005468561319685872,,
48,49,81,0.0033641924414613555,,
49,51,82,0.0002066446344235473,,
50,52,83,0.006409884808117439,,
50,51,84,8.702464849730251e-05,,
51,52,85,0.006322860159620136,,
52,54,86,0.007977939661863775,,
53,59,87,0.04062089475753439,,
54,55,88,0.00931260910070919,,
54,87,89,0.20612683581899538,,
55,56,90,0.0012565378941499228,,
56,58,91,0.010537540742847074,,
57,59,92,0.018581700586015493,,
58,59,93,0.013732971898303359,,
59,60,94,0.004591659187883845,,
60,61,95,0.001239175205559051,,
60,62,96,0.0042868343993419655,,
61,62,97,0.0030476591937829145,,
61,69,98,0.04946573900949203,,
62,63,99,0.009902005753952059,,
63,64,100,0.003499669280546014,,
63,66,101,0.007097437332465373,,
63,78,102,0.11521057310039429,,
64,65,103,0.00010719907951584062,,
64,72,104,0.05899135398099897,,
65,66,105,0.0034905689724035183,,
65,74,106,0.0749880672457155,,
66,67,107,0.007896477518715694,,
67,79,108,0.10247923101778578,,
67,68,109,0.013072318048373721,,
68,82,110,0.10869204301010049,,
68,69,111,0.008449841162202265,,
69,70,112,0.003107623808553228,,
70,71,113,0.0037035701873692206,,
70,88,114,0.1156597309579851,,
71,72,115,0.019163755203865485,,
71,89,116,0.1148417625195115,,
72,73,117,0.010919497449885407,,
73,74,118,0.005184414894346956,,
73,103,119,0.11238570991559027,,
74,75,120,0.01963528398999459,,
75,76,121,0.012642132800738337,,
75,77,122,0.014483018502082778,,
76,77,123,0.0018408857013444413,,
76,124,124,0.08470870065109493,,
77,78,125,0.002497335002539569,,
78,79,126,0.002262572768572557,,
79,80,127,0.013383861287755261,,
80,91,128,0.037893454329295695,,
80,82,129,0.005901268752933175,,
81,89,130,0.024861662766716086,,
82,83,131,0.004707569640285847,,
83,84,132,0.0001465163459628549,,
83,102,133,0.04368788080140251,,
84,99,134,0.04084921447051171,,
84,85,135,0.0031594720549175115,,
85,86,136,0.007652712332715694,,
85,92,137,0.028505353055171545,,
86,125,138,0.04364455216656271,,
86,88,139,0.00285888254475819,,
86,87,140,8.213055827077653e-05,,
87,90,141,0.012138629827964431,,
88,89,142,0.0028856017488956276,,
89,90,143,0.00647627609258139,,
90,91,144,0.004105154816245404,,
91,92,145,0.004526725519975239,,
92,93,146,0.0028995703919807436,,
93,94,147,0.0030377286132641235,,
93,98,148,0.0058956821979729845,,
94,95,149,0.00013536025044103006,,
94,96,150,0.000857711373834058,,
95,96,151,0.000722351123393028,,
95,119,152,0.015395215163072296,,
96,97,153,0.0008513889233713323,,
97,98,154,0.0011488532875034707,,
97,100,155,0.0019064531617019043,,
98,99,156,0.00038913677046892303,,
99,100,157,0.0003684631037295105,,
100,101,158,0.0005689949785379067,,
100,121,159,0.012409608954814022,,
101,102,160,0.0017546919026605323,,
101,107,161,0.004963280436292239,,
102,103,162,0.000642504275677025,,
103,104,163,0.000633601630280145,,
104,105,164,4.3593589147850054e-05,,
104,129,165,0.011747449708495394,,
105,106,166,0.0009941249080741565,,
105,123,167,0.009013775853320416,,
106,108,168,0.0009174057403313896,,
106,109,169,0.0013860745827461995,,
107,113,170,0.005321688272019731,,
107,108,171,2.2641609878859548e-05,,
108,109,172,0.00046866884241481,,
109,110,173,0.0017032457759558195,,
110,111,174,0.0016529515837098163,,
111,112,175,0.0006880483869976528,,
111,112,176,0.0006880483869976528,,
112,113,177,0.000786132073062773,,
113,114,178,0.0006524285675908459,,
114,115,179,0.00010783042614570526,,
114,116,180,0.00023043029952152239,,
115,116,181,0.00012259987337581713,,
115,117,182,0.00013261021722765776,,
116,117,183,1.001034385184063e-05,,
117,118,184,8.309643467663275e-05,,
118,119,185,8.509262211531254e-05,,
118,120,186,0.0004515528448809647,,
119,120,187,0.00036646022276565215,,
120,121,188,0.0001281267774423389,,
121,122,189,0.000169095272410269,,
122,126,190,0.0007322125399631396,,
122,123,191,7.8458002399584e-05,,
123,124,192,9.385134783612692e-05,,
124,125,193,0.00048804540249469675,,
125,126,194,7.185778723273195e-05,,
126,127,195,0.001223547615184617,,
127,128,196,9.049262795546298e-06,,
127,128,197,9.049262795546298e-06,,
128,129,198,0.0008037288504834095,,
129,130,199,0.00016318050281005636,,
130,142,200,0.004686046253720155,,
130,131,201,0.0017804128973883948,,
131,133,202,0.0006704330005971038,,
131,132,203,0.00031584718048893734,,
132,137,204,0.00196431352569415,,
132,134,205,0.0003555447372848297,,
133,134,206,9.589171766632987e-07,,
133,145,207,0.003456406517150068,,
134,135,208,0.001248596815862646,,
135,140,209,0.0006622982955960532,,
135,136,210,0.00024013737380235156,,
136,139,211,0.0002299381052439653,,
136,137,212,0.00012003459874432298,,
137,138,213,7.559741261609076e-05,,
138,139,214,3.430609388355155e-05,,
138,147,215,0.0018845806403045007,,
139,140,216,0.00019222281654973639,,
140,141,217,0.00019833036135419313,,
141,142,218,0.0001250159657451011,,
141,143,219,0.0001920971566014007,,
142,143,220,6.70811908562996e-05,,
143,144,221,0.000866747479583152,,
144,164,222,0.003005239698345319,,
144,146,223,0.00028775580619477825,,
145,150,224,0.0002481054480566458,,
145,146,225,3.783152188185923e-07,,
146,147,226,0.00011312092613768865,,
147,148,227,2.972998266415061e-05,,
148,151,228,0.00012306129490657902,,
148,149,229,3.086665612972439e-05,,
149,152,230,0.00015051141326316575,,
149,150,231,7.400956790626356e-05,,
150,151,232,1.818507087059107e-05,,
151,152,233,5.831677448631112e-05,,
152,153,234,3.8761423267530404e-05,,
153,156,235,0.00012454188322919002,,
153,154,236,0.00011073909628456224,,
154,157,237,0.00034231989347455194,,
154,155,238,6.6089151410375635e-06,,
155,156,239,7.193871803590213e-06,,
155,159,240,0.0013908573955294656,,
156,157,241,0.00032851710652992416,,
157,158,242,0.0006487142721578465,,
158,163,243,0.0011377206634655135,,
158,159,244,0.00040643214503810476,,
159,160,245,0.00012843485366464957,,
160,168,246,0.0010694398715586084,,
160,161,247,0.0004095396148567909,,
161,162,248,2.6061175873115516e-05,,
161,162,249,2.6061175873115516e-05,,
162,163,250,0.00016725287403285272,,
163,164,251,0.00011499956530580668,,
164,165,252,0.00017566541193314578,,
165,174,253,0.0003499398689208455,,
165,166,254,0.00015911219114450592,,
166,170,255,5.378759524432564e-05,,
166,167,256,1.5884824273837417e-05,,
167,168,257,9.242141385534808e-07,,
167,209,258,0.0008079347404120751,,
168,169,259,3.2605393698759144e-05,,
169,170,260,4.373163133175595e-06,,
169,173,261,0.00012313513882766802,,
170,171,262,7.288420641238247e-05,,
171,176,263,0.00011345909417903588,,
171,172,264,4.5329992601317315e-05,,
172,180,265,0.00013993227881314851,,
172,173,266,5.477766807926443e-07,,
173,174,267,1.8278106837521513e-05,,
174,175,268,5.02347058772834e-06,,
175,205,269,0.000540180064369622,,
175,176,270,4.427974747167607e-05,,
176,177,271,3.571148089320797e-05,,
177,178,272,1.063820667202009e-05,,
177,189,273,0.00022945978733923678,,
178,179,274,1.262800448986745e-05,,
178,210,275,0.0005555513423992631,,
179,180,276,1.282548518033444e-05,,
179,194,277,0.0002805844570261673,,
180,181,278,3.267944355411778e-05,,
181,182,279,1.0251250213144658e-05,,
181,193,280,0.00022793153667721722,,
182,183,281,2.4606382598379994e-05,,
182,183,282,2.4606382598379994e-05,,
183,184,283,9.850045076253977e-06,,
184,185,284,4.7407032579327435e-05,,
184,215,285,0.0006122322826120907,,
184,186,286,4.845918877505184e-05,,
185,186,287,1.0521561957244074e-06,,
185,219,288,0.0006891078050466071,,
186,187,289,2.1382704850525514e-05,,
187,208,290,0.00035797523436897905,,
187,188,291,1.9137326009222022e-05,,
188,218,292,0.0006286590814925663,,
188,189,293,2.7001749920319007e-05,,
189,190,294,4.3961089080113425e-07,,
190,191,295,1.6917119216919296e-05,,
190,223,296,0.0010027221633652772,,
191,192,297,1.2959583140959019e-05,,
191,214,298,0.0004713109148584138,,
192,217,299,0.0005710354488022151,,
192,193,300,3.692657598564075e-05,,
193,194,301,7.147991614497862e-06,,
194,195,302,4.0396251815399964e-05,,
195,211,303,0.00022321324544405385,,
195,196,304,1.9484580100481708e-06,,
196,197,305,3.8349499142276144e-05,,
196,220,306,0.0005865204010967462,,
197,198,307,1.2473243444777182e-06,,
