node,x,y
0,0.8346785430672483,0.07396587041382766
1,0.8270719383394455,0.08739219123885776
2,0.8159240541048508,0.09527811662193961
3,0.8101590848085543,0.10354243200785777
4,0.8098194093808182,0.10455089928572439
5,0.8018950153812906,0.11292192063969393
6,0.7761472413742753,0.11815660240838284
7,0.8007801037451336,0.1136951715759005
8,0.7911953335912331,0.12210705571327672
9,0.7819249695832418,0.13075333527360325
10,0.7813268248812517,0.13050042293649552
11,0.7651318470340481,0.14258247430069398
12,0.7283319621426482,0.17077943127485826
13,0.7101701645296337,0.18239076423884287
14,0.7059092852308098,0.18521035182387308
15,0.6896798995330483,0.197643264004519
16,0.6583069486249231,0.22292268450092845
17,0.6389566818817832,0.24091903693292716
18,0.6257590562175194,0.2589394182695993
19,0.5990164287104067,0.28586915519346795
20,0.5020867081210364,0.2974330906766735
21,0.5609511409866881,0.2993029358067256
22,0.5808945556616746,0.30197781988900674
23,0.5482924662002173,0.3287584365354977
24,0.5460679989617231,0.3404647847328362
25,0.5423855434958151,0.34247471610725605
26,0.5361012673249345,0.34951761658874847
27,0.5335681282775127,0.37813793958477054
28,0.5297338376382916,0.4039545916753161
29,0.5241827235343333,0.41187288627451907
30,0.5276864588147702,0.41153414333748894
31,0.5270277028747777,0.41191369833878705
32,0.8207470318784109,0.355729919566441
33,0.8172562932393085,0.357013960989758
34,0.5187741391228372,0.4397126834317202
35,0.5148201208645369,0.4449733239457629
36,0.5145577170016551,0.4455890356988363
37,0.7726053504988402,0.3702657549956913
38,0.7711422621719849,0.3703583209168431
39,0.77604066976599,0.3685809798135249
40,0.5219561646248948,0.4358929630412196
41,0.5219561646248948,0.4358929630412196
42,0.5433265547081289,0.42824026757394074
43,0.5420100686989948,0.43002383693151214
44,0.5389731321116575,0.43062024650714803
45,0.5081890094759205,0.4322300293859408
46,0.4976651820128553,0.4439676960444575
47,0.49371517451490615,0.4472473587911966
48,0.4987818449562556,0.44639949359233283
49,0.4967874844189381,0.4486680503313752
50,0.4951048223454854,0.44922127980962856
51,0.5198143574339154,0.44551326302201527
52,0.48787806854871346,0.45618794226799153
53,0.4847248455428133,0.4579717422122635
54,0.4643251954308801,0.4412560979289256
55,0.46336530194327313,0.4411016325573051
56,0.47330986167227623,0.4499036982145771
57,0.47513624934997867,0.4515626048090733
58,0.5019550589158766,0.47016548236216515
59,0.49563634803638723,0.47239724513224607
60,0.4894810927644552,0.4944551934147437
61,0.49235472383253404,0.4987270917278393
62,0.3033516301580858,0.5668920523818262
63,0.30945434902293006,0.5680999213832515
64,0.31972776191790103,0.5962029537262421
65,0.3240377132308632,0.5957791472292435
66,0.8579134966660993,0.46921383405549794
67,0.5194748090041792,0.5512048504507001
68,0.5449824229445355,0.5701927868495673
69,0.5550177626711988,0.5790576445682832
70,0.567606198665426,0.5814047772333052
71,0.5877039717679687,0.5846034093209496
72,0.5986625682708645,0.591279039885248
73,0.6028734066156554,0.5929062261632948
74,0.6193250903885936,0.5973690956649015
75,0.6361010003483097,0.6032308425539075
76,0.6419287943172541,0.6026013382310548
77,0.6473485616033952,0.6051993450904273
78,0.6658285746301102,0.6139950393599475
79,0.6696978808306298,0.6156793335172001
80,0.6729269798114808,0.6179957481361015
81,0.6749095705873406,0.6177622741284399
82,0.6783625026436156,0.6184182538559715
83,0.6971019366294283,0.6355555732041931
84,0.7005807042116313,0.6412574415730001
85,0.7182764533519398,0.6538414900884739
86,0.7248344410126936,0.6576069536924729
87,0.8056681718011746,0.649401346989019
88,0.857616495112266,0.6334162372965544
89,0.8686423190150124,0.6346771296509409
90,0.8755773640345235,0.6333310111651147
91,0.8771788891413203,0.6338081735769373
92,0.8862395518625774,0.6346968536357666
93,0.8920378220119946,0.6400880264178946
94,0.8938294414658844,0.6432377318651101
95,0.8946845601443663,0.644558769916129
96,0.8955404447593899,0.6451615566778431
97,0.900034482445034,0.6488376600024999
98,0.9013902212979105,0.6503608327993107
99,0.9133290818298067,0.6598558108745093
100,0.9102174887229125,0.6661833466568651
101,0.9096099969729147,0.6682511642077911
102,0.909125792288178,0.6699652750404057
103,0.9008989700823052,0.6760373377519904
104,0.897870363499564,0.671692295332648
