birth,death,raw_birth,edge_id
0.011796176927488763,inf,5.6935757936082965e-05,240
0.027181981349797723,inf,0.00013119731247407396,40
0.06935751844844995,inf,0.00033476294105305726,256
0.16314832446068378,inf,0.0007874562721694022,7
0.20291670676598475,inf,0.000979403460005135,253
0.3424805029827439,inf,0.0016530259876158526,249
0.3578089822852894,inf,0.0017270108551252772,245
0.4027573055427725,inf,0.0019439596910364454,235
0.42214308746746476,inf,0.0020375276490156025,94
0.4924953196046516,inf,0.0023770917030178605,4
0.5201877081059543,inf,0.0025107525609444625,242
0.5848968647951657,inf,0.0028230795889427895,229
0.6827771283292126,inf,0.003295511210268165,142
0.998927372879881,inf,0.004821450835098995,222
1.020045464979377,inf,0.0049233800098850145,205
1.2230201333634412,inf,0.005903063229059313,192
1.2356340980054275,inf,0.005963946144082133,210
1.2921594548013358,inf,0.006236773014310137,218
1.7386603409486996,inf,0.008391866696627837,224
1.7693279912574822,inf,0.008539888036523169,106
2.135649858994994,inf,0.010307987422994214,114
2.1982080361288876,inf,0.010609932472827932,231
2.2719401679511777,inf,0.01096581004531183,215
2.5226042407317855,inf,0.01217567227939309,202
2.6052463142959263,inf,0.01257455482623071,199
2.814363675175014,inf,0.013583886537041095,28
2.98375419674871,inf,0.014401471572622615,104
3.20362480279713,inf,0.015462705197735571,45
3.6431251941732268,inf,0.017584010095926028,186
4.231027935771933,inf,0.020421597934034974,164
4.801226784981836,inf,0.023173735669303697,92
4.969157342908746,inf,0.02398427400345815,99
5.322646141445396,inf,0.025690432938706,23
6.996233561624937,inf,0.033768216853439226,134
7.048945835871908,inf,0.03402263939264277,30
7.136516004671579,inf,0.03444530802196634,18
10.087794528959119,inf,0.04869003160433527,80
11.323673321705236,inf,0.054655158798906034,77
12.586673770410874,inf,0.06075119213773261,127
14.229859476649104,inf,0.06868223828848988,9
14.298945877413585,inf,0.06901569264533625,178
14.920559839487902,inf,0.0720159920043496,121
15.00729839138951,inf,0.07243464672826172,149
15.683094349096836,inf,0.07569646242488326,189
16.172061385334324,inf,0.07805652441658384,155
17.664251712965868,inf,0.08525877204400056,117
17.818942602980417,inf,0.08600540742620322,180
17.82380345336728,inf,0.08602886894281925,71
18.96667793682198,inf,0.09154509893337393,75
19.325695961387325,inf,0.09327794538583001,110
20.155255057631038,inf,0.09728191855338597,129
21.32071773710925,inf,0.1029071733634998,64
24.955762822757308,inf,0.12045218378131706,162
26.79797179802232,inf,0.12934384121644316,175
28.179634310631663,inf,0.1360126121962993,81
32.383857057429644,inf,0.15630483145449436,153
32.71002471438293,inf,0.15787912140258734,49
34.240985773013996,inf,0.1652685009261059,172
34.54012592254295,inf,0.1667123391498998,168
35.22787687985756,inf,0.1700318571824519,58
35.293276278972584,inf,0.1703475157538744,69
36.28934747234275,inf,0.17515518087295823,84
40.22611724576779,inf,0.194156504119263,56
50.33267134523258,inf,0.24293708119200397,159
50.60452747846238,inf,0.24424922961857953,101
59.01139738214452,inf,0.28482606334856375,163
60.082482897101556,inf,0.2899957946931597,146
63.09624723748765,inf,0.3045421140655626,25
64.402881378853,inf,0.310848751007438,53
67.81557219637564,inf,0.327320540087201,136
68.7518477817661,inf,0.33183959405010255,50
73.86640843696946,inf,0.3565256757530213,147
76.9786611971952,inf,0.3715473620910068,125
79.52235285412831,inf,0.38382481548403674,15
81.28231839833464,inf,0.3923195144714069,13
82.56031525452072,inf,0.3984879298905859,43
89.89894648515182,inf,0.4339087729228497,130
98.94335385091425,inf,0.4775627628229487,11
99.26303724589559,inf,0.4791057556506018,109
100.11631500099159,inf,0.48322420996126747,124
108.06598731511346,inf,0.5215943210006565,102
120.97618502303966,inf,0.5839070428361997,19
126.64399590432184,inf,0.6112634575752992,67
128.10507612592335,inf,0.6183155482936444,62
129.5484673752846,inf,0.6252822609231563,60
149.6571309391556,inf,0.7223392996678628,55
160.59625461176026,inf,0.7751383803602618,38
