source,target,edge_id,length,connectivity,shared_points
0,1,0,0.019097746124674676,,
1,5,1,0.035878209858188036,,
1,2,2,0.0012168058254604305,,
2,6,3,0.03684681484922726,,
2,3,4,0.00210402616984616,,
3,7,5,0.05591855976124535,,
3,4,6,0.007219863682103967,,
4,8,7,0.08103454806621052,,
4,5,8,0.02533751418077748,,
5,6,9,0.0021854108164996583,,
6,7,10,0.021175771081864248,,
7,8,11,0.032335851987069134,,
8,9,12,0.2526429506563361,,
9,25,13,0.5142451283427745,,
9,10,14,0.0029009000320199263,,
10,29,15,0.5902449663407643,,
10,11,16,0.10733778517088977,,
11,17,17,0.15927648478940354,,
11,12,18,0.04797859589018744,,
11,21,19,0.31685462623869703,,
12,13,20,0.00244538487901258,,
12,24,21,0.3178977552224447,,
12,24,22,0.3178977552224447,,
13,14,23,0.03397261386721595,,
13,23,24,0.30889647600924086,,
14,15,25,0.04649141867761797,,
14,22,26,0.26527141392117515,,
15,20,27,0.1297582673551687,,
15,16,28,0.027338368637248367,,
16,17,29,0.0010501028381212363,,
16,27,30,0.2547616877977956,,
17,18,31,0.023240170232048052,,
18,28,32,0.2701431944672459,,
18,19,33,0.03903585099719342,,
19,20,34,0.03909377465055763,,
19,26,35,0.1914065197893352,,
20,21,36,0.05620834556949439,,
21,22,37,0.03281338231889408,,
22,23,38,0.009652448220849763,,
23,24,39,0.006555894334191237,,
24,25,40,0.03813009202723272,,
25,26,41,0.008952582668115383,,
26,27,42,2.904394109770614e-05,,
27,28,43,0.03967177973961955,,
28,29,44,0.030247331681176992,,
29,30,45,0.04349047829036479,,
