birth,death,raw_death,edge_id
0.0,0.0001363104202325432,2.7993221316524597e-06,48
0.0,0.0007766016533299065,1.5948584062286386e-05,58
0.0,0.003509538931675684,7.207321337998618e-05,64
0.0,0.05957961074495056,0.0012235493271097742,51
0.0,0.13093113693954211,0.0026888511438230844,13
0.0,0.13494882922864,0.002771359985948685,62
0.0,0.14283885973890054,0.0029333926243126918,55
0.0,0.14681679997164793,0.0030150851032363386,1
0.0,0.18158288930888195,0.0037290546086248266,53
0.0,0.18408404377530913,0.0037804192588152263,45
0.0,0.18544619773361087,0.003808392965562568,50
0.0,0.18761775067305383,0.003852988794649348,19
0.0,0.19792981126888898,0.0040647611551161145,43
0.0,0.2837965445840167,0.005828152732456071,17
0.0,0.29116219819322964,0.0059794165692719226,54
0.0,0.3004202974409039,0.006169544382514935,57
0.0,0.3111582314371768,0.006390062639539673,38
0.0,0.34875052599203743,0.0071620721597766,34
0.0,0.36628657595505054,0.007522199086826498,23
0.0,0.38570366708879694,0.007920955783858763,24
0.0,0.3897196722445673,0.008003429978378884,65
0.0,0.3921552195236403,0.008053447294658622,9
0.0,0.422417354545587,0.008674921897799531,15
0.0,0.5254913887042861,0.01079168908644812,47
0.0,0.5441286443161462,0.011174430787475376,63
0.0,0.5541487819683761,0.011380208108418555,59
0.0,0.6277357347248016,0.01289141748698627,0
0.0,0.9503971691410489,0.01951771423562243,42
0.0,1.0,0.020536376653207178,35
0.0,1.0914374067610566,0.02241416967864475,3
0.0,1.4342909289469516,0.029455138747133014,61
0.0,1.4783615862170436,0.030360190364186024,11
0.0,1.627425524345062,0.03342142354299338,6
0.0,1.7341212123347078,0.03561256637882182,60
0.0,2.0290077433460803,0.041668467249629026,41
0.0,2.204900723877473,0.04528067174847694,46
0.0,2.2459878699413487,0.04612445285565003,31
0.0,2.287901939185375,0.04698521596871397,32
0.0,2.3599055559645095,0.04846390936328346,8
0.0,2.85360395135902,0.05860268556418913,20
0.0,2.926240323842717,0.06009437346823698,26
0.0,3.6908364469986807,0.07579640744094984,29
0.0,4.140351666077928,0.0850278212913102,5
0.0,7.3424608087567735,0.1507875407300413,37
