node,x,y
0,0.19137668404962965,0.833787507838253
1,0.2533375596150603,0.043090419295794026
2,0.17999457656009235,0.5340275243107988
3,0.23249201809131537,0.22108070244522837
4,0.22977603432768123,0.22003007067614197
5,0.22886314953549922,0.21243565757734198
6,0.2199974319914719,0.2207502556573873
7,0.21886725154850695,0.22265042478388183
8,0.21363613236935156,0.2229600269685336
9,0.21243539462346403,0.2253286439586141
10,0.2089359383338745,0.2384464343910823
11,0.20813280753722568,0.24247283719096352
12,0.20848759355300137,0.24291100716795222
13,0.20849665682286725,0.24686547591054686
14,0.446094486640613,0.21218582075838552
15,0.22495175892814798,0.2574361441250597
16,0.22163920068204004,0.2731782688146583
17,0.2218199915201054,0.2676269754612001
18,0.21965919950470497,0.2703592848150005
19,0.21884957462402282,0.2688933274241895
20,0.2191961995722249,0.2597834924669551
21,0.21939785508209875,0.2563916345606894
22,0.22253058159918299,0.28387887396214523
23,0.22845722480150088,0.28469835929071075
24,0.24372059329057108,0.28531950783235993
25,0.2488063180558217,0.2859652059502834
26,0.2526785289223671,0.29007398277035984
27,0.26879220879418386,0.2875357034050157
28,0.3444329702804819,0.29661607066243295
29,0.3498526671214531,0.2994039232253809
30,0.4369546188483529,0.2936795988035679
31,0.4389682945086469,0.2934133467994022
32,0.4544663087711714,0.2933227097250541
33,0.45892954602422575,0.2942238967389035
34,0.47268222986500846,0.29759560971117477
35,0.5432658150095107,0.3245901765045542
36,0.5565180525353077,0.32608231183145037
37,0.5627865079795621,0.3276973298727314
38,0.5607755074916344,0.32718106140094927
39,0.5894790099371714,0.32873010224650046
40,0.5987183824097722,0.32845164128954
41,0.6008444907713855,0.32938698578339476
42,0.6153153336708533,0.331312601012039
43,0.621242607603412,0.3315973938403545
44,0.6249026191201714,0.3326044738016566
45,0.6364262435421554,0.3333674775994716
46,0.8076522113450711,0.3569728434298873
47,0.7766778422071552,0.34619031348618434
48,0.8387912526827574,0.3533821463492347
