birth,death,raw_death,edge_id
0.0,0.0005307250363086394,4.5781043056525306e-07,273
0.0,0.0015792046294598556,1.3622427846859964e-06,39
0.0,0.0016115562428993117,1.3901497140089702e-06,263
0.0,0.001756674766424824,1.515330870338616e-06,295
0.0,0.003034004644402715,2.6171725047152705e-06,255
0.0,0.0033645728324992775,2.902324992670735e-06,320
0.0,0.0034573428126908117,2.9823496036640584e-06,73
0.0,0.004313070570548145,3.7205116771854563e-06,340
0.0,0.00434820172226598,3.750816272962698e-06,42
0.0,0.004484416455783255,3.868316902355673e-06,60
0.0,0.006493206594944799,5.601125825260844e-06,314
0.0,0.009499559243544514,8.194445352938118e-06,335
0.0,0.009583265753386201,8.266651694621707e-06,324
0.0,0.012914771791142452,1.1140452833124925e-05,253
0.0,0.013099642650979014,1.1299924880137091e-05,286
0.0,0.013925471828212722,1.201229604286258e-05,326
0.0,0.015149739108168917,1.3068365178892094e-05,343
0.0,0.01596425128584591,1.3770974148230586e-05,345
0.0,0.016754040596992016,1.4452256846153588e-05,245
0.0,0.018333186710254846,1.581444915399466e-05,278
0.0,0.01877491099011836,1.6195486355785604e-05,280
0.0,0.019731812067330882,1.7020921871724326e-05,271
0.0,0.019788502869189133,1.7069824106652476e-05,322
0.0,0.01979845074353742,1.7078405274539854e-05,332
0.0,0.02072497130279717,1.7877634154173094e-05,360
0.0,0.02408816634968314,2.07787706507645e-05,300
0.0,0.025049315901262366,2.1607870956841246e-05,89
0.0,0.028725320850096218,2.4778841409056618e-05,316
0.0,0.029867980588623833,2.576451480129638e-05,329
0.0,0.03521937810481286,3.038070102467927e-05,165
0.0,0.038595204268239945,3.329273328933624e-05,301
0.0,0.039271163194193846,3.387582439257075e-05,63
0.0,0.0425337037605333,3.6690135003958346e-05,328
0.0,0.04374403773427812,3.773418508590254e-05,334
0.0,0.048957904139075845,4.223173515494061e-05,306
0.0,0.04938241275775677,4.259792189986733e-05,344
0.0,0.051466866005884675,4.439599882055667e-05,264
0.0,0.05277883327061884,4.5527719122528953e-05,82
0.0,0.05505937457768519,4.7494944194426125e-05,68
0.0,0.060969250284081324,5.2592881085722354e-05,268
0.0,0.06334902486088616,5.464570608759711e-05,53
0.0,0.0636845398290325,5.493512573340187e-05,356
0.0,0.06674533483199228,5.757540795547911e-05,342
0.0,0.06918474568078031,5.967967599374013e-05,266
0.0,0.0716473299760596,6.18039337532128e-05,333
0.0,0.0741499841236099,6.396275629683146e-05,272
0.0,0.07566869772387458,6.527281872026336e-05,309
0.0,0.07570180053287186,6.530137364080257e-05,252
0.0,0.07711670998544927,6.652189323452795e-05,354
0.0,0.07796627534488006,6.725473954172223e-05,303
0.0,0.08144490798363277,7.025545403072098e-05,312
0.0,0.08241038444834929,7.108828678925594e-05,275
0.0,0.08256655695248084,7.122300325534958e-05,311
0.0,0.08742262507405915,7.541191179649687e-05,282
0.0,0.08895011408437382,7.672954400461673e-05,283
0.0,0.09545336074401087,8.233933052237408e-05,292
0.0,0.09554674284522063,8.241988315704774e-05,349
0.0,0.09730265949255154,8.393456006383637e-05,339
0.0,0.10172322292098003,8.774779650089215e-05,247
0.0,0.10355945100998555,8.933175111869307e-05,304
0.0,0.1082689243659038,9.339420507753493e-05,67
0.0,0.11075207492830057,9.553620357083403e-05,352
0.0,0.11131532882772865,9.602207382863881e-05,290
0.0,0.11304290599589416,9.751230472615502e-05,57
0.0,0.11346692054065809,9.787806527639109e-05,234
0.0,0.12346553466429103,0.00010650300196457518,170
0.0,0.1258437868068104,0.0001085545136945143,350
0.0,0.12891800107502357,0.00011120637155215274,98
0.0,0.1323313214612895,0.00011415074682896709,289
0.0,0.13427967371390648,0.00011583142123217094,297
0.0,0.13584495905900804,0.00011718165705820738,257
0.0,0.13860156322523712,0.00011955954024422955,56
0.0,0.14388815568680166,0.00012411982477100736,270
0.0,0.144433706305731,0.00012459042394508124,64
0.0,0.14525913986608377,0.00012530245384345662,250
0.0,0.1533722158927157,0.0001323009004492448,38
0.0,0.15438662557507182,0.00013317594364803398,337
0.0,0.1557554531509843,0.00013435671240591418,341
0.0,0.15921449282006447,0.00013734052574032596,236
