source,target,edge_id,length,connectivity,shared_points
0,1,0,0.18720025159915796,,
1,2,1,0.0006719711122087912,,
1,2,2,0.0006719711122087912,,
2,3,3,0.11578930677270319,,
3,4,4,0.009709237019424388,,
3,4,5,0.009709237019424388,,
4,5,6,0.11082733039401849,,
5,8,7,0.07006715805481939,,
5,6,8,0.03622955662566918,,
6,9,9,0.035103991039092675,,
6,7,10,0.0201506692949997,,
7,10,11,0.03841514767487891,,
7,8,12,0.013686932134150509,,
8,9,13,0.0012663896099424643,,
9,10,14,0.02346182593078594,,
10,11,15,0.0882176653011294,,
11,12,16,0.011316057461066786,,
11,12,17,0.011316057461066786,,
12,13,18,0.2919257262222217,,
13,16,19,0.04620105330028035,,
13,14,20,0.004932227501466824,,
14,15,21,0.004683458818309005,,
14,15,22,0.004683458818309005,,
15,16,23,0.03658536698050452,,
16,17,24,0.04310741016121189,,
