source,target,edge_id,length,connectivity,shared_points
0,82,0,7.868003034782994,,3
0,98,1,5.444040626787116,,5
1,80,2,9.333107354960546,,4
1,83,3,5.556606430965885,,10
1,96,4,17.775107173675114,,3
2,4,5,3.059815263434124,,4
3,84,6,13.791175159148294,,3
3,85,7,4.986282956174335,,14
5,86,8,3.0276243111519263,,4
6,87,9,14.194910963267885,,6
6,88,10,13.637967496308889,,4
6,91,11,11.868956710850115,,7
6,8,12,2.0097398158761663,,61
6,26,13,12.059554004680825,,50
6,28,14,12.828286699490624,,33
7,26,15,22.385325496901004,,8
7,28,16,18.08489724385202,,8
8,87,17,14.064326879764712,,6
8,88,18,13.644581283503214,,4
8,91,19,10.737963493630453,,11
8,26,20,13.139938174215429,,32
8,28,21,13.329454012124229,,33
9,89,22,1.9223385388067058,,69
9,93,23,2.5331355028605516,,69
9,14,24,0.34827350230621684,,86
9,33,25,12.571603631361018,,3
10,15,26,4.885072724364049,,30
10,30,27,6.6908564784793745,,22
10,40,28,7.703274390951649,,22
11,13,29,7.240344492199886,,3
11,35,30,2.9593683739695757,,3
11,43,31,5.424146047059899,,3
12,20,32,2.5730955494119385,,11
12,41,33,5.521450592154076,,10
12,49,34,4.137736833932258,,10
13,94,35,9.29648139156988,,8
13,97,36,11.51322302632519,,4
13,22,37,7.754034840213031,,6
13,35,38,7.948085577744147,,3
13,43,39,5.648030901696692,,13
13,52,40,17.87198585418518,,1
14,89,41,2.0220924327855005,,69
14,93,42,2.5441092097485365,,71
14,33,43,12.5337911555787,,3
15,95,44,11.638780687911371,,18
15,96,45,18.067086531993766,,4
15,21,46,12.291225510795494,,5
15,30,47,9.520672490114762,,22
15,40,48,9.332629413725938,,39
16,19,49,5.655371773568235,,4
16,39,50,15.236398063971917,,4
16,48,51,8.431130239933974,,4
17,39,52,25.58100810664579,,2
18,40,53,16.048813222063206,,3
19,98,54,15.972435129735421,,2
19,39,55,16.470961058603322,,4
19,48,56,8.827197750351104,,8
20,41,57,6.965244148020145,,10
20,49,58,5.253158920609029,,13
21,95,59,6.085069603652277,,4
21,96,60,10.09764863688962,,4
22,94,61,7.403737900440303,,4
22,97,62,8.537622652333882,,4
22,43,63,12.087016277693431,,1
22,52,64,17.080670670700744,,1
23,25,65,7.992901037407639,,5
23,54,66,15.773085732422134,,2
24,54,67,21.37369883208988,,2
26,28,68,5.865663991129426,,151
26,57,69,4.830422882813743,,586
26,59,70,18.050401977967624,,65
27,34,71,5.166834668059374,,3
28,47,72,15.962137650587932,,2
28,57,73,8.585737907998668,,62
28,59,74,16.970341828971698,,67
28,63,75,19.199156971679077,,3
29,39,76,23.506623642424437,,6
29,60,77,6.144622447320662,,3
29,63,78,28.787389683467,,3
30,40,79,3.2703467465779688,,45
30,59,80,25.037003140809475,,14
30,63,81,23.850578013109878,,13
31,42,82,5.3503253622409375,,19
31,45,83,17.335816815750363,,3
31,59,84,16.432339993800706,,30
31,63,85,21.02205766024715,,14
31,64,86,23.224403775658956,,3
32,61,87,4.354860366913062,,3
35,43,88,5.158575087534771,,4
36,90,89,6.388491404558539,,6
37,70,90,10.814860635444207,,7
38,92,91,8.816250620906692,,2
39,48,92,9.930298221434175,,23
39,59,93,20.026141240876424,,1
39,60,94,23.154572304762254,,3
39,63,95,15.869298370032604,,35
39,66,96,10.380409223997503,,9
40,50,97,28.42157299100575,,1
40,59,98,25.201201879698957,,13
40,63,99,23.546654097664877,,21
40,65,100,29.939497396252726,,1
41,49,101,2.1634339928923496,,23
41,63,102,25.72211501527731,,10
41,65,103,28.118410743164926,,5
42,59,104,18.277437329698728,,14
42,63,105,22.111105264880358,,14
43,52,106,16.941009784907052,,1
44,51,107,5.8864982735435305,,3
44,64,108,9.275937915576081,,6
44,65,109,29.57186471618446,,1
44,67,110,7.825067595037805,,3
45,59,111,22.171521063385093,,3
45,64,112,19.115267781173564,,3
46,50,113,24.619763822531255,,2
47,50,114,16.017569690324997,,2
47,59,115,21.625339243667913,,2
47,63,116,20.43698365390716,,4
47,65,117,17.047383818537753,,2
48,63,118,21.293804760647966,,10
48,66,119,5.620476248808291,,9
49,63,120,26.88977319798524,,5
49,65,121,28.877089744243225,,5
50,54,122,5.458594504372169,,77
50,63,123,18.024852578617026,,3
50,65,124,8.793339762397174,,82
50,68,125,8.364938511650314,,72
51,64,126,12.507229122487432,,3
51,67,127,4.996245843966705,,3
52,55,128,6.040289741668562,,3
52,65,129,28.611086028990254,,3
53,65,130,23.972222934356314,,2
54,56,131,8.232922488311836,,20
54,65,132,10.415972221275107,,76
54,68,133,8.983412655280633,,190
54,69,134,8.509768892359535,,11
55,65,135,28.169118827951937,,2
56,68,136,14.294805636364039,,10
56,69,137,5.309076943038841,,10
57,59,138,16.551701702365943,,93
57,73,139,9.024907725942283,,87
57,75,140,14.414043388453996,,4
58,59,141,13.08106147845309,,2
59,63,142,8.753867823338897,,117
59,64,143,19.257893071416245,,5
59,73,144,16.720702169357924,,3
59,74,145,12.62777567221273,,35
59,75,146,15.426990965765805,,23
59,76,147,16.425101795665697,,47
60,63,148,26.539260564080102,,4
62,75,149,28.014555548273407,,1
63,65,150,15.303600140898498,,53
63,66,151,19.469535026761896,,11
63,74,152,12.516245854612485,,31
63,75,153,15.00010876112829,,16
63,76,154,12.778238211476864,,108
63,77,155,14.961521613542594,,28
64,65,156,25.200170798251495,,4
64,67,157,11.451297674991352,,5
65,68,158,2.246021935378083,,1813
65,76,159,14.17393467370217,,30
65,77,160,3.1706730973072017,,1628
65,78,161,2.202378108460091,,1274
68,69,162,12.051563568562138,,13
68,77,163,4.791939330096154,,1274
68,78,164,2.5115767571380325,,1394
70,80,165,9.458168225087988,,10
70,95,166,19.59397414846722,,6
70,96,167,14.940224746678924,,5
72,93,168,11.96656058436607,,3
73,75,169,10.948369350168832,,5
74,76,170,18.497109750508823,,31
75,76,171,9.49011105425124,,23
76,77,172,11.703016375323783,,143
77,78,173,2.8475101468674033,,1382
80,83,174,6.268936584741862,,30
80,95,175,18.67715014917876,,5
80,96,176,12.348664375226457,,13
80,99,177,11.898495366449039,,3
80,100,178,18.328446199264558,,3
81,94,179,15.669352011105886,,2
81,97,180,14.057893148723162,,2
82,98,181,10.14937195957416,,3
83,96,182,16.452412527372616,,4
83,99,183,12.4531020553589,,2
84,85,184,11.069512813105144,,3
87,91,185,8.9692172016003,,6
89,93,186,0.9781222986915308,,82
94,97,187,3.116924122428865,,12
95,96,188,7.727292850652778,,19
